Date of Download: 2023-02-19_18:09:25,,,,,,,,,,,,,,,,,,,,,,,,
11057,202238BCEPR_cere,202238BCEPR_cere,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,64,"Cerete. Cordoba, Colombia",2022-August-05,,2.4,3.5,10,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10978,202239BCEPR_repe,202239BCEPR_repe,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,56,"Repelon. Atlantico, Colombia",2022-June-07,,2.6,4,10,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11213,202240BCEPR_cere,202240BCEPR_cere,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,64,"Cerete. Cordoba, Colombia",2022-June-24,,2.4,3.5,,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10794,202241BCEPR_stom,202241BCEPR_stom,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,52,"Santo Tomas. Atlantico, Colombia",2022-August-05,,3.2,4,10,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10716,202242BCF1C_stom,202242BCF1C_stom,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,52,"Santo Tomas. Atlantico, Colombia",2022-June-22,,1.6,4.8,6,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10650,202243BCF1C_ciat,202243BCF1C_ciat,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-June-16,,1.2,1.6,2,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10651,202244BCMUL_ciat,202244BCMUL_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-June-16,,1.2,4,5,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10566,202245BCMUL_ciat,202245BCMUL_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",,,6,4,25,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10652,202246CQQU1_ciat,202246CQQU1_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-June-30,,1.2,9.6,12,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10670,202247DMAYT_tani,202247DMAYT_tani; population from Hawaii,Advanced Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,467,Tay Ninh,2022-August-17,,5,3.2,20,3,3,,no,no,10610,Vietnam_2022,, No ManagementFactor: 
10848,202248FSMUL_ciat,202248FSMUL_ciat,Specialty Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-July-07,,1.2,4,5,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10653,202249S1F1C_ciat,202249S1F1C_ciat,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-June-22,,1.2,1.6,2,81,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11229,202250LAF1C_saha,202250LAF1C_saha,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,61,"Sahagun. Cordoba, Colombia",2022-June-09,,1.3,4.2,,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10680,202251S1F1C_momi,202251S1F1C_momi,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,127,"Momil. Cordoba, Colombia",2022-June-10,,1.3,4.2,6,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10710,202252DVPRC_stom,202252DVPRC_stom,Uniform Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,52,"Santo Tomas. Atlantico, Colombia",2022-June-30,,2,4,10,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11064,202253LAEPR_saha,202253LAEPR_saha,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,61,"Sahagun. Cordoba, Colombia",2022-July-08,,1.3,4.2,6,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10980,202254LAEPR_repe,202254LAEPR_repe,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,56,"Repelon. Atlantico, Colombia",2022-July-22,,2.6,4,10,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10795,202255BCEAR_stom,202255BCEAR_stom,Advanced Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,52,"Santo Tomas. Atlantico, Colombia",2022-August-05,,4,4,20,3,3,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10793,202256DVGST_stom,202256DVGST_stom,Specialty Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,52,"Santo Tomas. Atlantico, Colombia",2022-July-15,,1.6,4,5,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11001,202258DVGST_ciat,202258DVGST_ciat,Specialty Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-July-27,,1.2,4,5,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11051,202259CQQU1_ciat,202259CQQU1_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-July-29,,1.2,9.6,12,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11243,202260LBPAR_ciat,202260LBPAR_ciat,crossing_block_trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,greenhouse,41,"CIAT. Valle, Colombia",2022-June-16,,4,7.5,varies,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11052,202266IDEPR_ciat,202266IDEPR_ciat,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-July-19,,1.2,3.2,4,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10977,202267IDEPR_repe,202267IDEPR_repe,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,56,"Repelon. Atlantico, Colombia",2022-July-25,,1.3,3.2,4,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11142,202268IDEPR_cere,202268IDEPR_cere,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,64,"Cerete. Cordoba, Colombia",2022-July-29,,1.2,4.2,,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11176,202269LAEAR_saha,202269LAEAR_saha,Advanced Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,61,"Sahagun. Cordoba, Colombia",2022-August-17,,5.2,3.5,,3,3,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11053,202271DVGST_ciat,202271DVGST_ciat,Specialty Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,41,"CIAT. Valle, Colombia",2022-August-10,,1.2,4,5,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11054,202272DVMUL_ciat,202272DVMUL_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-August-04,,1.2,4,5,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11123,202273CQQU1_ciat,202273CQQU1_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-August-26,,1.2,9.6,12,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11124,202274CQQU1_ciat,202274CQQU1_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-September-27,,1.2,9.6,12,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11125,202275CQQU1_ciat,202275CQQU1_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-October-28,,1.2,9.6,12,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11055,202276SGF1C_ciat,202276SGF1C_ciat,Specialty Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-August-10,,1.2,1.6,2,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10832,202277LAEPR_stom,202277LAEPR_stom,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,52,"Santo Tomas. Atlantico, Colombia",2022-August-19,,3.2,4,10,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11058,202278LAEPR_saha,202278LAEPR_saha,Advanced Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,61,"Sahagun. Cordoba, Colombia",2022-August-16,,2.6,3.5,10,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11245,202279DVPAR_ciat,202279DVPAR_ciat,crossing_block_trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,greenhouse,41,"CIAT. Valle, Colombia",2022-August-11,,2,5,varies,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11246,202280LAPLY_ciat,202280LAPLY_ciat,crossing_block_trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,greenhouse,41,"CIAT. Valle, Colombia",2022-August-25,,2,7.5,varies,5,5,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11247,202281SGPLY_ciat,202281SGPLY_ciat,crossing_block_trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,greenhouse,41,"CIAT. Valle, Colombia",2022-August-25,,2,18,varies,13,13,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11248,202282LAPLY_ciat,202282LAPLY_ciat,crossing_block_trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,greenhouse,41,"CIAT. Valle, Colombia",2022-November-25,,2,3.2,varies,4,4,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11126,202283DVMUL_ciat,202283DVMUL_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-August-24,,1.2,4,5,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10666,202284DMF1C_dona,202284DMF1C_dona,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,472,Dong Nai,2022-March-20,,1,3.2,4,1,1,,no,no,10610,Vietnam_2022,, No ManagementFactor: 
10613,202285DMF1C_tani,202285DMF1C_tani,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,467,Tay Ninh,2022-March-10,,1,3.2,,1,1,,no,no,10610,Vietnam_2022,, No ManagementFactor: 
10667,202286DMF1C_dona,202286DMF1C_dona,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,472,Dong Nai,2022-March-19,,1,3.2,4,1,1,,no,no,10610,Vietnam_2022,, No ManagementFactor: 
10668,202287DMF1C_tani,202287DMF1C_tani,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,467,Tay Ninh,2022-March-11,,1,3.2,4,1,1,,no,no,10610,Vietnam_2022,, No ManagementFactor: 
11256,202288GSF1C_ciat,202288GSF1C_ciat,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,greenhouse,41,"CIAT. Valle, Colombia",2022-January-05,,1,2.4,varies,20,20,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11056,202289DVGXE_ciat,202289DVGXE_ciat,Regional Trials,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,41,"CIAT. Valle, Colombia",2022-August-25,,4.8,4,20,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11065,202292DVGXE_arem,202292DVGXE_arem,Regional Trials,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,50,"Aremasain. Guajira, Colombia",2022-August-29,,4,4,20,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11177,202293DVGXE_saha,202293DVGXE_saha,Regional Trials,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,61,"Sahagun. Cordoba, Colombia",2022-August-30,,5.2,3.5,,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10993,202294DVGXE_stom,202294DVGXE_stom,Regional Trials,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,52,"Santo Tomas. Atlantico, Colombia",2022-September-08,,4,4,20,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11178,202295DVGXE_cere,202295DVGXE_cere,Regional Trials,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,64,"Cerete. Cordoba, Colombia",2022-September-08,,4.8,4,,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10973,202297DVEPR_stom,202297DVEPR_stom,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,52,"Santo Tomas. Atlantico, Colombia",2022-September-12,,2,4,10,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10831,202298SGCOB_stom,202298SGCOB_stom,Specialty Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,52,"Santo Tomas. Atlantico, Colombia",2022-August-15,,1.6,4.8,6,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
